"OID","Country or Area","Year","Description","Magnitude","Value"
"14446H..ZF...","SWEDEN","1960","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","4865000000"
"14446F..ZF...","SWEDEN","1960","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","1100000000"
"14446H..ZF...","SWEDEN","1959","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","5547000000"
"14446F..ZF...","SWEDEN","1959","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","1000000000"
"14446H..ZF...","SWEDEN","1958","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","4358000000"
"14446F..ZF...","SWEDEN","1958","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","900000000"
"14446H..ZF...","SWEDEN","1957","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","3687000000"
"14446F..ZF...","SWEDEN","1957","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","800000000"
"14446H..ZF...","SWEDEN","1956","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","2996000000"
"14446F..ZF...","SWEDEN","1956","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","700000000"
"14446H..ZF...","SWEDEN","1955","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","2566000000"
"14446F..ZF...","SWEDEN","1955","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","600000000"
"14446H..ZF...","SWEDEN","1954","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","2718000000"
"14446F..ZF...","SWEDEN","1954","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","500000000"
"14446H..ZF...","SWEDEN","1953","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","2774000000"
"14446F..ZF...","SWEDEN","1953","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","500000000"
"14446H..ZF...","SWEDEN","1952","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","2557000000"
"14446F..ZF...","SWEDEN","1952","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","400000000"
"14446H..ZF...","SWEDEN","1951","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","2697000000"
"14446F..ZF...","SWEDEN","1951","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","400000000"
"14446H..ZF...","SWEDEN","1950","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","3193000000"
"14446F..ZF...","SWEDEN","1950","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","400000000"
"14446H..ZF...","SWEDEN","1949","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","3177000000"
"14446F..ZF...","SWEDEN","1949","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","350000000"
"14446H..ZF...","SWEDEN","1948","CRED. FROM DEPOSIT MONEY BANKS","SWEDISH KRONOR","2865000000"
"14446F..ZF...","SWEDEN","1948","CENTRAL GOVT. LENDING FUNDS","SWEDISH KRONOR","350000000"
"14646C.XZF...","SWITZERLAND","2009","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","297674000000"
"14646C.XZF...","SWITZERLAND","2008","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","458385000000"
"14646C.XZF...","SWITZERLAND","2007","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","582279000000"
"14646C.XZF...","SWITZERLAND","2006","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","495445000000"
"14646C.XZF...","SWITZERLAND","2005","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","426478000000"
"14646C.XZF...","SWITZERLAND","2004","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","346391000000"
"14646C.XZF...","SWITZERLAND","2003","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","342240000000"
"14646C.XZF...","SWITZERLAND","2002","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","379431000000"
"14646C.XZF...","SWITZERLAND","2001","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","445489000000"
"14646C.XZF...","SWITZERLAND","2000","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","432043000000"
"14646C.XZF...","SWITZERLAND","1999","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","389763000000"
"14646C.XZF...","SWITZERLAND","1998","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","351051000000"
"14646C.XZF...","SWITZERLAND","1997","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","351590000000"
"14646C.XZF...","SWITZERLAND","1996","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","322167000000"
"14646C.XZF...","SWITZERLAND","1995","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","267796000000"
"14646C.XZF...","SWITZERLAND","1994","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","279717000000"
"14646C.XZF...","SWITZERLAND","1993","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","269964000000"
"14646C.XZF...","SWITZERLAND","1992","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","297647000000"
"14646C.XZF...","SWITZERLAND","1991","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","289707000000"
"14646C.XZF...","SWITZERLAND","1990","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","284226000000"
"14646C.XZF...","SWITZERLAND","1989","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","263146000000"
"14646C.XZF...","SWITZERLAND","1988","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","211558000000"
"14646C.XZF...","SWITZERLAND","1987","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","176252000000"
"14646C.XZF...","SWITZERLAND","1986","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","180732000000"
"14646C.XZF...","SWITZERLAND","1985","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","208476000000"
"14646C.XZF...","SWITZERLAND","1984","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","221052000000"
"14646C.XZF...","SWITZERLAND","1983","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","180828000000"
"14646C.XZF...","SWITZERLAND","1982","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","169681000000"
"14646C.XZF...","SWITZERLAND","1981","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","137037000000"
"14646C.XZF...","SWITZERLAND","1980","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","106930000000"
"14646C.XZF...","SWITZERLAND","1979","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","69877000000"
"14646C.XZF...","SWITZERLAND","1978","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","51863000000"
"14646C.XZF...","SWITZERLAND","1977","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","51903000000"
"14646C.XZF...","SWITZERLAND","1976","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","49798000000"
"14646C.XZF...","SWITZERLAND","1975","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","44810000000"
"14646C.XZF...","SWITZERLAND","1974","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","37085000000"
"14646C.XZF...","SWITZERLAND","1973","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","32400000000"
"14646C.XZF...","SWITZERLAND","1972","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","28500000000"
"14646C.XZF...","SWITZERLAND","1971","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","32700000000"
"14646C.XZF...","SWITZERLAND","1970","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","25630000000"
"14646C.XZF...","SWITZERLAND","1969","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","22560000000"
"14646C.XZF...","SWITZERLAND","1968","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","11660000000"
"14646C.XZF...","SWITZERLAND","1967","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","8920000000"
"14646C.XZF...","SWITZERLAND","1966","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","7530000000"
"14646C.XZF...","SWITZERLAND","1965","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","4980000000"
"14646C.XZF...","SWITZERLAND","1964","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","3920000000"
"14646C.XZF...","SWITZERLAND","1963","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","2490000000"
"14646C.XZF...","SWITZERLAND","1962","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","830000000"
"14646C.XZF...","SWITZERLAND","1961","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","580000000"
"14646C.XZF...","SWITZERLAND","1960","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","470000000"
"14646C.XZF...","SWITZERLAND","1959","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","400000000"
"14646C.XZF...","SWITZERLAND","1958","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","350000000"
"14646C.XZF...","SWITZERLAND","1957","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","260000000"
"14646C.XZF...","SWITZERLAND","1956","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","220000000"
"14646C.XZF...","SWITZERLAND","1955","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","200000000"
"14646C.XZF...","SWITZERLAND","1954","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","170000000"
"14646C.XZF...","SWITZERLAND","1953","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","180000000"
"14646C.XZF...","SWITZERLAND","1952","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","160000000"
"14646C.XZF...","SWITZERLAND","1951","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","150000000"
"14646C.XZF...","SWITZERLAND","1950","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","130000000"
"14646C.XZF...","SWITZERLAND","1949","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","30000000"
"14646C.XZF...","SWITZERLAND","1948","TRUST ACCOUNTS EXT.LIAB.","SWISS FRANCS","20000000"
"57846S..ZK...","THAILAND","2009","SECURITIES OTHER THAN SHARES","BAHT","125179000000"
"57846L..ZK...","THAILAND","2009","LOANS","BAHT","41847200000"
"57846C..ZK...","THAILAND","2009","LIABILITIES TO NONRESIDENTS","BAHT","24806500000"
"57846D..ZK...","THAILAND","2009","LIABILITIES TO CENTRAL GOVERNMENT","BAHT","0"
"57846R..ZK...","THAILAND","2009","INSURANCE TECHNICAL RESERVES","BAHT","1873700000000"
"57846M..ZK...","THAILAND","2009","FINANCIAL DERIVATIVES","BAHT","50795000000"
"57846B..ZK...","THAILAND","2009","DEPOSITS","BAHT","0"
"57846S..ZK...","THAILAND","2008","SECURITIES OTHER THAN SHARES","BAHT","188259000000"
"57846B..ZF...","THAILAND","2008","RESTRICTED DEPOSITS","BAHT","0"
"57846L..ZK...","THAILAND","2008","LOANS","BAHT","40077500000"
"57846C..ZK...","THAILAND","2008","LIABILITIES TO NONRESIDENTS","BAHT","17371400000"
"57846D..ZK...","THAILAND","2008","LIABILITIES TO CENTRAL GOVERNMENT","BAHT","0"
"57846R..ZK...","THAILAND","2008","INSURANCE TECHNICAL RESERVES","BAHT","1668290000000"
"57846C..ZF...","THAILAND","2008","FOREIGN LIABILITIES","BAHT","17371400000"
"57846M..ZK...","THAILAND","2008","FINANCIAL DERIVATIVES","BAHT","6364350000"
"57846B..ZK...","THAILAND","2008","DEPOSITS","BAHT","0"
"57846H..ZF...","THAILAND","2008","CREDIT FROM OTHER DEPOSITORY CORPORA","BAHT","93186400000"
"57846G..ZF...","THAILAND","2008","CREDIT FROM MONETARY AUTHORITIES","BAHT","62000000000"
"57846D..ZF...","THAILAND","2008","CENTRAL GOVERNMENT DEPOSITS","BAHT","0"
"57846S..ZK...","THAILAND","2007","SECURITIES OTHER THAN SHARES","BAHT","207317000000"
"57846B..ZF...","THAILAND","2007","RESTRICTED DEPOSITS","BAHT","0"
"57846L..ZK...","THAILAND","2007","LOANS","BAHT","75221300000"
"57846C..ZK...","THAILAND","2007","LIABILITIES TO NONRESIDENTS","BAHT","9894830000"
"57846D..ZK...","THAILAND","2007","LIABILITIES TO CENTRAL GOVERNMENT","BAHT","0"
"57846R..ZK...","THAILAND","2007","INSURANCE TECHNICAL RESERVES","BAHT","1534370000000"
"57846C..ZF...","THAILAND","2007","FOREIGN LIABILITIES","BAHT","9894830000"
"57846M..ZK...","THAILAND","2007","FINANCIAL DERIVATIVES","BAHT","185887000"
"57846B..ZK...","THAILAND","2007","DEPOSITS","BAHT","0"
"57846H..ZF...","THAILAND","2007","CREDIT FROM OTHER DEPOSITORY CORPORA","BAHT","112547000000"
"57846G..ZF...","THAILAND","2007","CREDIT FROM MONETARY AUTHORITIES","BAHT","91926000000"
"57846D..ZF...","THAILAND","2007","CENTRAL GOVERNMENT DEPOSITS","BAHT","0"
"36946C..ZF...","TRINIDAD AND TOBAGO","2007","FOREIGN LIABILITIES","TT DOLLARS","1332840000"
"36946G..ZF...","TRINIDAD AND TOBAGO","2007","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","0"
"36946H..ZF...","TRINIDAD AND TOBAGO","2007","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","382084000"
"36946D..ZF...","TRINIDAD AND TOBAGO","2007","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","1927000"
"36946C..ZF...","TRINIDAD AND TOBAGO","2006","FOREIGN LIABILITIES","TT DOLLARS","1560020000"
"36946C.NZF...","TRINIDAD AND TOBAGO","2006","FOREIGN LIABILITIES","TT DOLLARS","0"
"36946G..ZF...","TRINIDAD AND TOBAGO","2006","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","0"
"36946H..ZF...","TRINIDAD AND TOBAGO","2006","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","111696000"
"36946H.NZF...","TRINIDAD AND TOBAGO","2006","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","42404000"
"36946D.NZF...","TRINIDAD AND TOBAGO","2006","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","449400000"
"36946D..ZF...","TRINIDAD AND TOBAGO","2006","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","1827000"
"36946C.NZF...","TRINIDAD AND TOBAGO","2005","FOREIGN LIABILITIES","TT DOLLARS","6281000"
"36946C..ZF...","TRINIDAD AND TOBAGO","2005","FOREIGN LIABILITIES","TT DOLLARS","1523980000"
"36946G..ZF...","TRINIDAD AND TOBAGO","2005","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","3819000"
"36946H.NZF...","TRINIDAD AND TOBAGO","2005","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","43791000"
"36946H..ZF...","TRINIDAD AND TOBAGO","2005","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","208518000"
"36946D.NZF...","TRINIDAD AND TOBAGO","2005","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","855684000"
"36946D..ZF...","TRINIDAD AND TOBAGO","2005","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","1752000"
"36946C..ZF...","TRINIDAD AND TOBAGO","2004","FOREIGN LIABILITIES","TT DOLLARS","842228000"
"36946C.NZF...","TRINIDAD AND TOBAGO","2004","FOREIGN LIABILITIES","TT DOLLARS","8399000"
"36946G..ZF...","TRINIDAD AND TOBAGO","2004","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","9669000"
"36946H..ZF...","TRINIDAD AND TOBAGO","2004","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","433862000"
"36946H.NZF...","TRINIDAD AND TOBAGO","2004","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","39737000"
"36946D.NZF...","TRINIDAD AND TOBAGO","2004","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","476132000"
"36946D..ZF...","TRINIDAD AND TOBAGO","2004","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","8776000"
"36946C.NZF...","TRINIDAD AND TOBAGO","2003","FOREIGN LIABILITIES","TT DOLLARS","12600000"
"36946C..ZF...","TRINIDAD AND TOBAGO","2003","FOREIGN LIABILITIES","TT DOLLARS","1680960000"
"36946G..ZF...","TRINIDAD AND TOBAGO","2003","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","16951000"
"36946H.NZF...","TRINIDAD AND TOBAGO","2003","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","44906000"
"36946H..ZF...","TRINIDAD AND TOBAGO","2003","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","452960000"
"36946D.NZF...","TRINIDAD AND TOBAGO","2003","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","500656000"
"36946D..ZF...","TRINIDAD AND TOBAGO","2003","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","131084000"
"36946C..ZF...","TRINIDAD AND TOBAGO","2002","FOREIGN LIABILITIES","TT DOLLARS","1380410000"
"36946C.NZF...","TRINIDAD AND TOBAGO","2002","FOREIGN LIABILITIES","TT DOLLARS","16800000"
"36946G..ZF...","TRINIDAD AND TOBAGO","2002","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","23552000"
"36946H..ZF...","TRINIDAD AND TOBAGO","2002","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","633849000"
"36946H.NZF...","TRINIDAD AND TOBAGO","2002","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","23147000"
"36946D.NZF...","TRINIDAD AND TOBAGO","2002","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","505409000"
"36946D..ZF...","TRINIDAD AND TOBAGO","2002","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","78958000"
"36946C.NZF...","TRINIDAD AND TOBAGO","2001","FOREIGN LIABILITIES","TT DOLLARS","20980000"
"36946C..ZF...","TRINIDAD AND TOBAGO","2001","FOREIGN LIABILITIES","TT DOLLARS","705593000"
"36946G..ZF...","TRINIDAD AND TOBAGO","2001","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","34658000"
"36946H.NZF...","TRINIDAD AND TOBAGO","2001","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","21375000"
"36946H..ZF...","TRINIDAD AND TOBAGO","2001","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","840781000"
"36946D.NZF...","TRINIDAD AND TOBAGO","2001","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","519292000"
"36946D..ZF...","TRINIDAD AND TOBAGO","2001","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","20307000"
"36946C..ZF...","TRINIDAD AND TOBAGO","2000","FOREIGN LIABILITIES","TT DOLLARS","341465000"
"36946C.NZF...","TRINIDAD AND TOBAGO","2000","FOREIGN LIABILITIES","TT DOLLARS","25272000"
"36946G..ZF...","TRINIDAD AND TOBAGO","2000","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","42609000"
"36946H..ZF...","TRINIDAD AND TOBAGO","2000","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","530070000"
"36946H.NZF...","TRINIDAD AND TOBAGO","2000","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","19743000"
"36946D.NZF...","TRINIDAD AND TOBAGO","2000","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","405223000"
"36946D..ZF...","TRINIDAD AND TOBAGO","2000","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","87834000"
"36946C.NZF...","TRINIDAD AND TOBAGO","1999","FOREIGN LIABILITIES","TT DOLLARS","29400000"
"36946C..ZF...","TRINIDAD AND TOBAGO","1999","FOREIGN LIABILITIES","TT DOLLARS","207314000"
"36946G..ZF...","TRINIDAD AND TOBAGO","1999","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","49858000"
"36946H.NZF...","TRINIDAD AND TOBAGO","1999","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","18376000"
"36946H..ZF...","TRINIDAD AND TOBAGO","1999","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","670272000"
"36946D..ZF...","TRINIDAD AND TOBAGO","1999","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","34793000"
"36946D.NZF...","TRINIDAD AND TOBAGO","1999","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","426897000"
"36946C..ZF...","TRINIDAD AND TOBAGO","1998","FOREIGN LIABILITIES","TT DOLLARS","238000000"
"36946C.NZF...","TRINIDAD AND TOBAGO","1998","FOREIGN LIABILITIES","TT DOLLARS","33600000"
"36946G..ZF...","TRINIDAD AND TOBAGO","1998","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","52708000"
"36946H..ZF...","TRINIDAD AND TOBAGO","1998","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","70010000"
"36946H.NZF...","TRINIDAD AND TOBAGO","1998","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","17300000"
"36946D.NZF...","TRINIDAD AND TOBAGO","1998","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","430700000"
"36946D..ZF...","TRINIDAD AND TOBAGO","1998","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","33612000"
"36946C.NZF...","TRINIDAD AND TOBAGO","1997","FOREIGN LIABILITIES","TT DOLLARS","37900000"
"36946C..ZF...","TRINIDAD AND TOBAGO","1997","FOREIGN LIABILITIES","TT DOLLARS","152518000"
"36946G..ZF...","TRINIDAD AND TOBAGO","1997","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","44647000"
"36946H.NZF...","TRINIDAD AND TOBAGO","1997","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","30000000"
"36946H..ZF...","TRINIDAD AND TOBAGO","1997","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","249010000"
"36946D..ZF...","TRINIDAD AND TOBAGO","1997","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","100744000"
"36946D.NZF...","TRINIDAD AND TOBAGO","1997","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","440300000"
"36946C..ZF...","TRINIDAD AND TOBAGO","1996","FOREIGN LIABILITIES","TT DOLLARS","169474000"
"36946C.NZF...","TRINIDAD AND TOBAGO","1996","FOREIGN LIABILITIES","TT DOLLARS","190900000"
"36946G..ZF...","TRINIDAD AND TOBAGO","1996","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","25290000"
"36946H..ZF...","TRINIDAD AND TOBAGO","1996","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","92121000"
"36946H.NZF...","TRINIDAD AND TOBAGO","1996","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","16000000"
"36946D.NZF...","TRINIDAD AND TOBAGO","1996","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","446800000"
"36946D..ZF...","TRINIDAD AND TOBAGO","1996","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","47849000"
"36946C.NZF...","TRINIDAD AND TOBAGO","1995","FOREIGN LIABILITIES","TT DOLLARS","373000000"
"36946C..ZF...","TRINIDAD AND TOBAGO","1995","FOREIGN LIABILITIES","TT DOLLARS","300000"
"36946G..ZF...","TRINIDAD AND TOBAGO","1995","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","0"
"36946H.NZF...","TRINIDAD AND TOBAGO","1995","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","40200000"
"36946H..ZF...","TRINIDAD AND TOBAGO","1995","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","48500000"
"36946D..ZF...","TRINIDAD AND TOBAGO","1995","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","0"
"36946D.NZF...","TRINIDAD AND TOBAGO","1995","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","500800000"
"36946C..ZF...","TRINIDAD AND TOBAGO","1994","FOREIGN LIABILITIES","TT DOLLARS","1400000"
"36946C.NZF...","TRINIDAD AND TOBAGO","1994","FOREIGN LIABILITIES","TT DOLLARS","368900000"
"36946G..ZF...","TRINIDAD AND TOBAGO","1994","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","0"
"36946H..ZF...","TRINIDAD AND TOBAGO","1994","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","30300000"
"36946H.NZF...","TRINIDAD AND TOBAGO","1994","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","28000000"
"36946D.NZF...","TRINIDAD AND TOBAGO","1994","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","517400000"
"36946D..ZF...","TRINIDAD AND TOBAGO","1994","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","0"
"36946C.NZF...","TRINIDAD AND TOBAGO","1993","FOREIGN LIABILITIES","TT DOLLARS","309100000"
"36946C..ZF...","TRINIDAD AND TOBAGO","1993","FOREIGN LIABILITIES","TT DOLLARS","300000"
"36946G..ZF...","TRINIDAD AND TOBAGO","1993","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","0"
"36946H.NZF...","TRINIDAD AND TOBAGO","1993","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","27300000"
"36946H..ZF...","TRINIDAD AND TOBAGO","1993","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","138900000"
"36946D..ZF...","TRINIDAD AND TOBAGO","1993","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","0"
"36946D.NZF...","TRINIDAD AND TOBAGO","1993","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","401600000"
"36946C..ZF...","TRINIDAD AND TOBAGO","1992","FOREIGN LIABILITIES","TT DOLLARS","300000"
"36946C.NZF...","TRINIDAD AND TOBAGO","1992","FOREIGN LIABILITIES","TT DOLLARS","226898000"
"36946G..ZF...","TRINIDAD AND TOBAGO","1992","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","0"
"36946H..ZF...","TRINIDAD AND TOBAGO","1992","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","146993000"
"36946H.NZF...","TRINIDAD AND TOBAGO","1992","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","33625000"
"36946D.NZF...","TRINIDAD AND TOBAGO","1992","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","419219000"
"36946D..ZF...","TRINIDAD AND TOBAGO","1992","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","0"
"36946C.NZF...","TRINIDAD AND TOBAGO","1991","FOREIGN LIABILITIES","TT DOLLARS","150515000"
"36946C..ZF...","TRINIDAD AND TOBAGO","1991","FOREIGN LIABILITIES","TT DOLLARS","400000"
"36946G..ZF...","TRINIDAD AND TOBAGO","1991","CREDIT FROM MONETARY AUTHOR.","TT DOLLARS","0"
"36946H.NZF...","TRINIDAD AND TOBAGO","1991","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","21662000"
"36946H..ZF...","TRINIDAD AND TOBAGO","1991","CREDIT FROM DEPOSIT MONEY BANKS","TT DOLLARS","165500000"
"36946D..ZF...","TRINIDAD AND TOBAGO","1991","CENTRAL GOVERNMENT DEPOSITS","TT DOLLARS","0"
